+-----+-------------------------------------------------+-----+-------+-------------------------------------------+---------------------+----------+
|  No |                   Mata Kuliah                   | SKS | Kelas |                   Dosen                   |        Waktu        | Ruangan  |
+-----+-------------------------------------------------+-----+-------+-------------------------------------------+---------------------+----------+
|  1  |              Aljabar Linear Matrik              |  2  |   A   |   Guntur Maulana Zamroni, B.Sc., M.Kom.   |      RAB7, RAB8     | 4.1.5.57 |
|  2  |                                                 |  2  |   B   |     Faisal Fajri Rahani, S.Si., M.Cs.     |      SEN3, SEN4     | 4.1.5.59 |
|  3  |                                                 |  2  |   C   |          Rusydi Umar, M.T., Ph.D.         |     SEL11, SEL12    | 4.1.5.60 |
|  4  |                                                 |  2  |   D   |          Rusydi Umar, M.T., Ph.D.         |     KAM10, KAM11    | 4.1.5.58 |
|  5  |                                                 |  2  |   E   |     Faisal Fajri Rahani, S.Si., M.Cs.     |      KAM8, KAM9     | 4.1.5.56 |
|  6  |                                                 |  2  |   F   |   Guntur Maulana Zamroni, B.Sc., M.Kom.   |      SAB8, SAB9     | 4.1.5.59 |
|  7  |                                                 |  2  |   G   |     Faisal Fajri Rahani, S.Si., M.Cs.     |      JUM5, JUM6     | 4.1.5.58 |
|  8  |                                                 |  2  |   H   |     Faisal Fajri Rahani, S.Si., M.Cs.     |      SEL2, SEL3     | 4.1.5.63 |
|  9  |                                                 |  2  |   I   |   Guntur Maulana Zamroni, B.Sc., M.Kom.   |      RAB2, RAB3     | 4.1.5.61 |
|  10 |                                                 |  2  |   J   |   Guntur Maulana Zamroni, B.Sc., M.Kom.   |      KAM3, KAM4     | 4.1.5.55 |
|  11 |                                                 |  2  |   K   |          Rusydi Umar, M.T., Ph.D.         |      SEN7, SEN8     | 4.1.5.57 |
|  12 |              Algoritma Pemrograman              |  3  |   A   |       Drs., Wahyu Pujiyono, M. Kom.       |   JUM3, JUM4, JUM5  | 4.1.5.63 |
|  13 |                                                 |  3  |   B   |       Drs., Wahyu Pujiyono, M. Kom.       |   SAB3, SAB4, SAB5  | 4.1.5.63 |
|  14 |                                                 |  3  |   C   |       Drs., Wahyu Pujiyono, M. Kom.       |   KAM7, KAM8, KAM9  | 4.1.5.63 |
|  15 |                                                 |  3  |   D   |       Drs., Wahyu Pujiyono, M. Kom.       | SEN10, SEN11, SEN12 | 4.1.5.57 |
|  16 |                                                 |  3  |   E   |          Ardiansyah, S.T., M.Cs.          |   JUM7, JUM8, JUM9  | 4.1.5.58 |
|  17 |                                                 |  3  |   F   |          Rusydi Umar, M.T., Ph.D.         |   SAB3, SAB4, SAB5  | 4.1.5.56 |
|  18 |                                                 |  3  |   G   |         Ir., Ardi Pujiyanta, M.T.         | KAM10, KAM11, KAM12 | 4.1.5.56 |
|  19 |                                                 |  3  |   H   |          Ardiansyah, S.T., M.Cs.          |   KAM4, KAM5, KAM6  | 4.1.5.65 |
|  20 |                                                 |  3  |   I   |          Ardiansyah, S.T., M.Cs.          |   KAM1, KAM2, KAM3  | 4.1.5.59 |
|  21 |                                                 |  3  |   J   |          Rusydi Umar, M.T., Ph.D.         |   SEL7, SEL8, SEL9  | 4.1.5.60 |
|  22 |                                                 |  3  |   K   |         Ir., Ardi Pujiyanta, M.T.         |   SEN7, SEN8, SEN9  | 4.1.5.59 |
|  23 |         Praktikum Algoritma Pemrograman         |  1  |   A   |       Drs., Wahyu Pujiyono, M. Kom.       |        KAM12        | 4.1.5.64 |
|  24 |                                                 |  1  |   B   |       Drs., Wahyu Pujiyono, M. Kom.       |         RAB6        | 4.1.5.63 |
|  25 |                                                 |  1  |   C   |       Drs., Wahyu Pujiyono, M. Kom.       |         SEN5        | 4.1.5.56 |
|  26 |                                                 |  1  |   D   |       Drs., Wahyu Pujiyono, M. Kom.       |         JUM2        | 4.1.5.57 |
|  27 |                                                 |  1  |   E   |          Ardiansyah, S.T., M.Cs.          |         JUM3        | 4.1.5.61 |
|  28 |                                                 |  1  |   F   |          Rusydi Umar, M.T., Ph.D.         |        JUM11        | 4.1.5.59 |
|  29 |                                                 |  1  |   G   |         Ir., Ardi Pujiyanta, M.T.         |         SAB4        | 4.1.5.55 |
|  30 |                                                 |  1  |   H   |          Ardiansyah, S.T., M.Cs.          |         SEL6        | 4.1.5.59 |
|  31 |                                                 |  1  |   I   |          Ardiansyah, S.T., M.Cs.          |         RAB2        | 4.1.5.57 |
|  32 |                                                 |  1  |   J   |          Rusydi Umar, M.T., Ph.D.         |         SEN7        | 4.1.5.55 |
|  33 |                                                 |  1  |   K   |       Drs., Wahyu Pujiyono, M. Kom.       |         SEN6        | 4.1.5.62 |
|  34 |                Matematika Diskrit               |  3  |   A   |     Nur Rochmah Dyah PA, S.T., M.Kom.     |      RAB4, RAB5     | 4.1.5.58 |
|  35 |                                                 |  3  |   B   |     Nur Rochmah Dyah PA, S.T., M.Kom.     |      SAB3, SAB4     | 4.1.5.64 |
|  36 |                                                 |  3  |   C   |        Lisna Zahrotun, S.T., M.Cs.        |      SEL7, SEL8     | 4.1.5.55 |
|  37 |                                                 |  3  |   D   |        Lisna Zahrotun, S.T., M.Cs.        |      JUM4, JUM5     | 4.1.5.55 |
|  38 |                                                 |  3  |   E   |        Lisna Zahrotun, S.T., M.Cs.        |      SAB4, SAB5     | 4.1.5.55 |
|  39 |                                                 |  3  |   F   |        Lisna Zahrotun, S.T., M.Cs.        |      KAM7, KAM8     | 4.1.5.61 |
|  40 |                                                 |  3  |   G   |        Dewi Soyusiowaty, S.T., M.T.       |      JUM7, JUM8     | 4.1.5.61 |
|  41 |                                                 |  3  |   H   |        Dewi Soyusiowaty, S.T., M.T.       |      SEL3, SEL4     | 4.1.5.62 |
|  42 |                                                 |  3  |   I   |    Miftahurrahma Rosyda, S.Kom., M.Eng.   |      KAM4, KAM5     | 4.1.5.62 |
|  43 |                                                 |  3  |   J   |     Nur Rochmah Dyah PA, S.T., M.Kom.     |      SEN3, SEN4     | 4.1.5.56 |
|  44 |                                                 |  3  |   K   |        Dewi Soyusiowaty, S.T., M.T.       |     RAB10, RAB11    | 4.1.5.60 |
|  45 |                 Pemrograman Web                 |  3  |   A   |      Herman Yuliansyah, S.T., M.Eng.      |     SEL10, SEL11    | 4.1.5.55 |
|  46 |                                                 |  3  |   B   |      Herman Yuliansyah, S.T., M.Eng.      |      SEN7, SEN8     | 4.1.5.60 |
|  47 |                                                 |  3  |   C   |         Taufiq Ismail, S.T., M.Cs.        |      SAB4, SAB5     | 4.1.5.65 |
|  48 |                                                 |  3  |   D   |           Supriyanto, S.T., M.T.          |      RAB3, RAB4     | 4.1.5.59 |
|  49 |                                                 |  3  |   E   |         Taufiq Ismail, S.T., M.Cs.        |     JUM10, JUM11    | 4.1.5.63 |
|  50 |                                                 |  3  |   F   |      Herman Yuliansyah, S.T., M.Eng.      |     KAM10, KAM11    | 4.1.5.62 |
|  51 |                                                 |  3  |   G   |          Ali Tarmuji, S.T., M.Cs.         |      JUM3, JUM4     | 4.1.5.56 |
|  52 |                                                 |  3  |   H   |          Ali Tarmuji, S.T., M.Cs.         |      SAB3, SAB4     | 4.1.5.62 |
|  53 |                                                 |  3  |   I   |          Ali Tarmuji, S.T., M.Cs.         |      SEL7, SEL8     | 4.1.5.58 |
|  54 |                                                 |  3  |   J   |      Herman Yuliansyah, S.T., M.Eng.      |      KAM4, KAM5     | 4.1.5.62 |
|  55 |                                                 |  3  |   K   |      Herman Yuliansyah, S.T., M.Eng.      |      RAB3, RAB4     | 4.1.5.57 |
|  56 |               Arsitektur Komputer               |  3  |   A   |          Mushlihudin, S.T., M.T.          |   RAB2, RAB3, RAB4  | 4.1.5.65 |
|  57 |                                                 |  3  |   B   |          Mushlihudin, S.T., M.T.          |   SAB4, SAB5, SAB6  | 4.1.5.63 |
